	Data_Source	Review_Date	Sentiment	Geography	Product	Review	Keywords	Aspect	Product_Family	Title	Sentiment_Score	Review_Count
351	BestBuy	3/4/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""however, overall a great purchase."""	purchase	Price	Microsoft Surface Pro 9 13		1	1.0
352	BestBuy	3/5/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""only issue I would have be sometimes the track pad doesnot operate as efficiently, especially when select something."""	select	Keyboard	Microsoft Surface Pro 7 Plus 12		-1	1.0
353	BestBuy	3/5/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""only issue I would have be sometimes the track pad doesnot operate as efficiently, especially when select something."""	pad	Touchpad	Microsoft Surface Pro 7 Plus 12		-1	1.0
354	BestBuy	2/16/2024 0:00	Positive	US	Windows 11 (Preinstall)	storage space be adequate and even well with the additional CRUCIAL 1 TB external storage drive SSI add to the mix.	drive	Hardware	Microsoft Surface Pro 9 13		1	1.0
355	BestBuy	2/16/2024 0:00	Positive	US	Windows 11 (Preinstall)	storage space be adequate and even well with the additional CRUCIAL 1 TB external storage drive SSI add to the mix.	storage	Storage/Memory	Microsoft Surface Pro 9 13		1	1.0
356	BestBuy	2/28/2024 0:00	Neutral	US	Windows 11 (Preinstall)	insert thumb up.	thumb	Hardware	Microsoft Surface Pro 9 13		0	1.0
357	BestBuy	3/31/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""even with this speed reduction, battery life be soso and get downright bad under load or at high setting."""	setting	Software	Microsoft Surface Pro 9 13		-1	1.0
358	BestBuy	3/31/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""even with this speed reduction, battery life be soso and get downright bad under load or at high setting."""	battery	Battery	Microsoft Surface Pro 9 13		-1	1.0
359	BestBuy	3/31/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""even with this speed reduction, battery life be soso and get downright bad under load or at high setting."""	speed	Performance	Microsoft Surface Pro 9 13		-1	1.0
360	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	drain quick the more tab or application you have open and the volume be also excellent.	volume	Audio-Microphone	Microsoft Surface Pro 9 13		1	1.0
